v1_page,v1_nav_status,v1_top_section,v1_title,v1_page_content_summary,v1_key_topics,v1_state,v1_state_flags,v1_state_rationale,v1_state_confidence,recommended_target_type,recommended_v2_tab,recommended_v2_anchor,recommended_v2_group_path,recommended_v2_route,recommended_v2_route_in_docs_json,recommended_v2_target_file_exists,recommended_v2_target_file_path,recommended_new_location,coverage_grade,coverage_rationale,deprecate_or_supersede_recommendation,recommended_action,confidence_score,adjudication_status,notes,seed_row_present,seed_target_match_status,phase1_primary_wp,phase1_wps,phase1_scope,phase1_status,phase1_owner,phase1_notes,phase1_updated_at
v1/ai/builders/gateways,in_v1_nav,ai,AI Gateways,AI Gateways. There are multiple AI gateways available in the Livepeer ecosystem that you can use to interact with the Livepeer AI network. Each gateway has its own unique features and capabilities.,ai|gateways|network|gateway|can|use,legacy,,Default legacy classification for v1 content.,0.72,new_page_in_existing_group,Gateways,Gateways,Run A Gateway > Gateway Setup Guide > Configuration,,true,true,v2/gateways/run-a-gateway/configure/ai-configuration.mdx,Gateways > Gateways > Run A Gateway > Gateway Setup Guide > Configuration,not_covered,Best candidate score 0.47 against English IA route v2/gateways/run-a-gateway/configure/ai-configuration.,review_for_deprecation_or_merge,create_new_page,0.54,needs_manual_review,"Top candidate: v2/gateways/run-a-gateway/configure/ai-configuration (score 0.47, resolution direct). Adjudication could not raise confidence to threshold.",true,stale,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/builders/get-started,in_v1_nav,ai,Building on Livepeer AI,"Building on Livepeer AI. Livepeer AI, now in its **Beta** phase, is fully operational and already powering a diverse range of cutting-edge applications. Developers are actively building on the platform, with a rapidly growing community.",ai|building|its|developers|builders|get,beta_experimental,has_beta_label,Page text indicates beta/experimental or preview status.,0.88,new_group_in_existing_tab,Developers,Developers,AI Pipelines,,true,true,v2/developers/ai-pipelines/overview.mdx,Developers > Developers > AI Pipelines,not_covered,Best candidate score 0.43 against English IA route v2/developers/ai-pipelines/overview.,review_for_deprecation_or_merge,create_new_group,0.5,needs_manual_review,"Top candidate: v2/developers/ai-pipelines/overview (score 0.43, resolution direct). Adjudication could not raise confidence to threshold.",true,stale,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/builders/showcase,in_v1_nav,ai,Showcase,"Showcase. If you would like your project to be featured, please contact us at ai@livepeer.org. Several startups, applications, and projects have been developed using Livepeer AI.",ai|showcase|featured|have|builders|if,beta_experimental,has_beta_label,Page text indicates beta/experimental or preview status.,0.88,new_group_in_existing_tab,Developers,Developers,AI Pipelines,,true,true,v2/developers/ai-pipelines/overview.mdx,Developers > Developers > AI Pipelines,not_covered,Best candidate score 0.41 against English IA route v2/developers/ai-pipelines/overview.,review_for_deprecation_or_merge,create_new_group,0.48,needs_manual_review,"Top candidate: v2/developers/ai-pipelines/overview (score 0.41, resolution direct). Adjudication could not raise confidence to threshold.",true,stale,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/contributors/coming-soon,in_v1_nav,ai,Get Started,"Get Started. Amazing that you decided to join our open-source community and help us democratize AI! 🎉 All our software is open-source, and anyone can permissionlessly add their AI compute job to the Livepeer network.",our|ai|get|open|source|community,beta_experimental,has_beta_label,Page text indicates beta/experimental or preview status.,0.88,new_group_in_existing_tab,Developers,Developers,AI Pipelines,,true,true,v2/developers/ai-pipelines/overview.mdx,Developers > Developers > AI Pipelines,not_covered,Best candidate score 0.41 against English IA route v2/developers/ai-pipelines/overview.,review_for_deprecation_or_merge,create_new_group,0.48,needs_manual_review,"Top candidate: v2/developers/ai-pipelines/overview (score 0.41, resolution direct). Adjudication could not raise confidence to threshold.",true,stale,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/contributors/developers,orphan_not_in_v1_nav,ai,Develop the AI Subnet,Develop the AI Subnet. It's great to see the decision to contribute to the Livepeer AI Subnet and help achieve the mission of **building a decentralized AI ecosystem**. Here are the steps to get started: 1.,ai|developers|get|discord|subnet|ecosystem,orphan_not_in_nav,not_in_v1_docs_json_nav,Page exists in filesystem but is not referenced in v1 docs.json navigation.,0.9,new_group_in_existing_tab,Developers,Developers,AI Pipelines,,true,true,v2/developers/ai-pipelines/overview.mdx,Developers > Developers > AI Pipelines,not_covered,Best candidate score 0.44 against English IA route v2/developers/ai-pipelines/overview.,review_for_deprecation_or_merge,create_new_group,0.51,needs_manual_review,"Top candidate: v2/developers/ai-pipelines/overview (score 0.44, resolution direct). Adjudication could not raise confidence to threshold.",true,stale,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/contributors/get-started,orphan_not_in_v1_nav,ai,Get Started,"Get Started. It's fantastic to see interest in contributing to the Livepeer AI Subnet! There are many ways to contribute, and excitement is high to build a decentralized AI ecosystem together ❤️.",ai|get|started|subnet|ways|setting,orphan_not_in_nav,not_in_v1_docs_json_nav,Page exists in filesystem but is not referenced in v1 docs.json navigation.,0.9,new_group_in_existing_tab,Developers,Developers,AI Pipelines,,true,true,v2/developers/ai-pipelines/overview.mdx,Developers > Developers > AI Pipelines,not_covered,Best candidate score 0.41 against English IA route v2/developers/ai-pipelines/overview.,review_for_deprecation_or_merge,create_new_group,0.48,needs_manual_review,"Top candidate: v2/developers/ai-pipelines/overview (score 0.41, resolution direct). Adjudication could not raise confidence to threshold.",true,stale,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/contributors/guides/add-model,orphan_not_in_v1_nav,ai,Add new Model,Add new Model. Adding support for a new model to the AI Subnet is a great way to get started with contributing to the Livepeer AI Subnet. This guide will walk you through the steps to add a new model to the AI Subnet.,model|ai|new|add|subnet|guide,orphan_not_in_nav,not_in_v1_docs_json_nav,Page exists in filesystem but is not referenced in v1 docs.json navigation.,0.9,new_group_in_existing_tab,Developers,Developers,AI Pipelines,,true,true,v2/developers/ai-pipelines/model-support.mdx,Developers > Developers > AI Pipelines,not_covered,Best candidate score 0.44 against English IA route v2/developers/ai-pipelines/model-support.,review_for_deprecation_or_merge,create_new_group,0.51,needs_manual_review,"Top candidate: v2/developers/ai-pipelines/model-support (score 0.44, resolution direct). Adjudication could not raise confidence to threshold.",true,stale,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/contributors/guides/add-pipeline,orphan_not_in_v1_nav,ai,Add new Pipeline,Add new Pipeline. Adding support for a new model to the AI Subnet offers the opportunity to expand its capabilities and provide more options for developers to build on top of the Livepeer network. This guide will walk you through the steps to add a new model to the AI Subnet.,new|ai|add|pipeline|subnet|adding,orphan_not_in_nav,not_in_v1_docs_json_nav,Page exists in filesystem but is not referenced in v1 docs.json navigation.,0.9,new_group_in_existing_tab,Developers,Developers,AI Pipelines,,true,true,v2/developers/ai-pipelines/model-support.mdx,Developers > Developers > AI Pipelines,not_covered,Best candidate score 0.44 against English IA route v2/developers/ai-pipelines/model-support.,review_for_deprecation_or_merge,create_new_group,0.51,needs_manual_review,"Top candidate: v2/developers/ai-pipelines/model-support (score 0.44, resolution direct). Adjudication could not raise confidence to threshold.",true,stale,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/gateways/get-started,in_v1_nav,ai,Get Started,"Get Started. If you're interested in joining Livepeer AI as a **Gateway** (formerly known as a _Broadcaster_) to perform **AI inference task routing** and provide inference services to customers, this guide is for you. It builds on the Gateway Setup Guide for the Mainnet Transcoding Network, with additional steps specific to AI operations.",ai|gateway|guide|setup|get|started,beta_experimental,has_beta_label,Page text indicates beta/experimental or preview status.,0.88,new_page_in_existing_group,Gateways,Gateways,Run A Gateway > Gateway Setup Guide > Configuration,,true,true,v2/gateways/run-a-gateway/configure/ai-configuration.mdx,Gateways > Gateways > Run A Gateway > Gateway Setup Guide > Configuration,not_covered,Best candidate score 0.49 against English IA route v2/gateways/run-a-gateway/configure/ai-configuration.,review_for_deprecation_or_merge,create_new_page,0.56,needs_manual_review,"Top candidate: v2/gateways/run-a-gateway/configure/ai-configuration (score 0.49, resolution direct). Adjudication could not raise confidence to threshold.",true,stale,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/gateways/onchain,in_v1_nav,ai,Onchain,"Onchain. ### On-chain Setup In the previous section, we covered the **off-chain** configuration of your AI Gateway node. This section will explain how to connect your AI Gateway to the Livepeer AI network to start requesting AI inference jobs **on-chain**.",ai|gateway|chain|network|inference|onchain,legacy,,Default legacy classification for v1 content.,0.72,new_page_in_existing_group,Gateways,Gateways,Run A Gateway > Gateway Setup Guide > Configuration,,true,true,v2/gateways/run-a-gateway/configure/ai-configuration.mdx,Gateways > Gateways > Run A Gateway > Gateway Setup Guide > Configuration,minimally_covered,Best candidate score 0.51 against English IA route v2/gateways/run-a-gateway/configure/ai-configuration.,no_deprecation_recommended,create_new_page,0.58,needs_manual_review,"Top candidate: v2/gateways/run-a-gateway/configure/ai-configuration (score 0.51, resolution direct). Adjudication could not raise confidence to threshold.",true,stale,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/gateways/start-gateway,in_v1_nav,ai,Start Gateway,Start Gateway. ### Start your AI Gateway The Livepeer AI network is currently in **Beta** but is already integrated into the main go-livepeer software. You can run the Livepeer AI software using one of the following methods: - **Docker** (Recommended): The simplest and preferred method.,ai|gateway|start|docker|node|network,beta_experimental,has_beta_label,Page text indicates beta/experimental or preview status.,0.88,new_page_in_existing_group,Gateways,Gateways,Run A Gateway > Gateway Setup Guide > Configuration,,true,true,v2/gateways/run-a-gateway/configure/ai-configuration.mdx,Gateways > Gateways > Run A Gateway > Gateway Setup Guide > Configuration,not_covered,Best candidate score 0.47 against English IA route v2/gateways/run-a-gateway/configure/ai-configuration.,review_for_deprecation_or_merge,create_new_page,0.54,needs_manual_review,"Top candidate: v2/gateways/run-a-gateway/configure/ai-configuration (score 0.47, resolution direct). Adjudication could not raise confidence to threshold.",true,stale,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/introduction,in_v1_nav,ai,What is Livepeer AI?,What is Livepeer AI?. The Livepeer AI network is in its **Beta** phase. Bugs or issues may be encountered.,ai|network|contributions|introduction|what|its,beta_experimental,has_beta_label,Page text indicates beta/experimental or preview status.,0.88,new_group_in_existing_tab,Developers,Developers,AI Pipelines,,true,true,v2/developers/ai-pipelines/overview.mdx,Developers > Developers > AI Pipelines,not_covered,Best candidate score 0.43 against English IA route v2/developers/ai-pipelines/overview.,review_for_deprecation_or_merge,create_new_group,0.5,needs_manual_review,"Top candidate: v2/developers/ai-pipelines/overview (score 0.43, resolution direct). Adjudication could not raise confidence to threshold.",true,stale,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/orchestrators/ai-worker,in_v1_nav,ai,Attach Remote AI Workers,"Attach Remote AI Workers. ## Introduction The **AI Worker** is a crucial component of the Livepeer AI network, responsible for performing AI inference tasks. It can be run as a separate process on compute machines distinct from the Orchestrator or combined with the Orchestrator on the same machine.",ai|orchestrator|workers|worker|remote|separate,beta_experimental,has_beta_label,Page text indicates beta/experimental or preview status.,0.88,new_page_in_existing_group,GPU Nodes,GPU Nodes,Advanced Orchestrator Information,,true,true,v2/orchestrators/advanced-setup/ai-pipelines.mdx,GPU Nodes > GPU Nodes > Advanced Orchestrator Information,not_covered,Best candidate score 0.45 against English IA route v2/orchestrators/advanced-setup/ai-pipelines.,review_for_deprecation_or_merge,create_new_page,0.52,needs_manual_review,"Top candidate: v2/orchestrators/advanced-setup/ai-pipelines (score 0.45, resolution direct). Adjudication could not raise confidence to threshold.",true,stale,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/orchestrators/benchmarking,in_v1_nav,ai,Perform Benchmarking,"Perform Benchmarking. To ensure your GPU(s) are performing optimally and to identify any bottlenecks, you can run a benchmark test. Optimal performance significantly increases your chances of being selected for jobs, as inference speed is a crucial factor in the selection process.",benchmarking|gpu|test|ai|run|benchmark,legacy,,Default legacy classification for v1 content.,0.72,new_page_in_existing_group,GPU Nodes,GPU Nodes,Quickstart ⚡,,true,true,v2/orchestrators/quickstart/batch-ai-quickstart.mdx,GPU Nodes > GPU Nodes > Quickstart ⚡,not_covered,Best candidate score 0.45 against English IA route v2/orchestrators/quickstart/batch-ai-quickstart.,review_for_deprecation_or_merge,create_new_page,0.52,needs_manual_review,"Top candidate: v2/orchestrators/quickstart/batch-ai-quickstart (score 0.45, resolution direct). Adjudication could not raise confidence to threshold.",true,stale,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/orchestrators/get-started,in_v1_nav,ai,Get Started,"Get Started. If you're interested in joining Livepeer AI as an **Orchestrator** to perform **AI inference** on the Livepeer AI Network and earn fees, this guide is for you. It is tailored to help you set up an AI Orchestrator node, building upon the Orchestrator Setup Guide for the Mainnet Transcoding Network, but with additional steps for AI operations.",ai|orchestrator|guide|network|setup|mainnet,beta_experimental,has_beta_label,Page text indicates beta/experimental or preview status.,0.88,new_page_in_existing_group,GPU Nodes,GPU Nodes,Advanced Orchestrator Information,,true,true,v2/orchestrators/advanced-setup/ai-pipelines.mdx,GPU Nodes > GPU Nodes > Advanced Orchestrator Information,not_covered,Best candidate score 0.46 against English IA route v2/orchestrators/advanced-setup/ai-pipelines.,review_for_deprecation_or_merge,create_new_page,0.53,needs_manual_review,"Top candidate: v2/orchestrators/advanced-setup/ai-pipelines (score 0.46, resolution direct). Adjudication could not raise confidence to threshold.",true,stale,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/orchestrators/models-config,in_v1_nav,ai,Configuring AI Models,"Configuring AI Models. Before deploying your AI Orchestrator node on the Livepeer AI network, you must choose the AI models you want to serve for AI inference tasks. This guide assists in configuring these models.",ai|models|orchestrators|configuring|download|supported,beta_experimental,has_beta_label,Page text indicates beta/experimental or preview status.,0.88,new_page_in_existing_group,GPU Nodes,GPU Nodes,Advanced Orchestrator Information,,true,true,v2/orchestrators/advanced-setup/ai-pipelines.mdx,GPU Nodes > GPU Nodes > Advanced Orchestrator Information,not_covered,Best candidate score 0.46 against English IA route v2/orchestrators/advanced-setup/ai-pipelines.,review_for_deprecation_or_merge,create_new_page,0.53,needs_manual_review,"Top candidate: v2/orchestrators/advanced-setup/ai-pipelines (score 0.46, resolution direct). Adjudication could not raise confidence to threshold.",true,stale,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/orchestrators/models-download,in_v1_nav,ai,Download AI Models,Download AI Models. AI Orchestrators on the Livepeer AI network can choose from various AI models to advertise on the network. A comprehensive list of currently supported models for each Livepeer AI pipeline is available on the Pipelines page.,ai|models|download|network|orchestrators|advertise,beta_experimental,has_beta_label,Page text indicates beta/experimental or preview status.,0.88,new_page_in_existing_group,GPU Nodes,GPU Nodes,Advanced Orchestrator Information,,true,true,v2/orchestrators/advanced-setup/ai-pipelines.mdx,GPU Nodes > GPU Nodes > Advanced Orchestrator Information,not_covered,Best candidate score 0.47 against English IA route v2/orchestrators/advanced-setup/ai-pipelines.,review_for_deprecation_or_merge,create_new_page,0.54,needs_manual_review,"Top candidate: v2/orchestrators/advanced-setup/ai-pipelines (score 0.47, resolution direct). Adjudication could not raise confidence to threshold.",true,stale,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/orchestrators/onchain,in_v1_nav,ai,On-chain Setup,On-chain Setup. The previous section covered the **off-chain** configuration of the AI Orchestrator node. This section details how to connect an AI Orchestrator node to the Livepeer AI network and earn fees for processing AI inference jobs.,ai|orchestrator|network|node|chain|section,beta_experimental,has_beta_label,Page text indicates beta/experimental or preview status.,0.88,new_page_in_existing_group,GPU Nodes,GPU Nodes,Advanced Orchestrator Information,,true,true,v2/orchestrators/advanced-setup/ai-pipelines.mdx,GPU Nodes > GPU Nodes > Advanced Orchestrator Information,not_covered,Best candidate score 0.49 against English IA route v2/orchestrators/advanced-setup/ai-pipelines.,review_for_deprecation_or_merge,create_new_page,0.56,needs_manual_review,"Top candidate: v2/orchestrators/advanced-setup/ai-pipelines (score 0.49, resolution direct). Adjudication could not raise confidence to threshold.",true,stale,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/orchestrators/start-orchestrator,in_v1_nav,ai,Start your AI Orchestrator,Start your AI Orchestrator. The Livepeer AI network is currently in its **Beta** stage and is undergoing active development. Running it on the same machine as your main Orchestrator or Gateway node may cause stability issues.,ai|orchestrator|start|network|currently|beta,beta_experimental,has_beta_label,Page text indicates beta/experimental or preview status.,0.88,new_page_in_existing_group,GPU Nodes,GPU Nodes,Advanced Orchestrator Information,,true,true,v2/orchestrators/advanced-setup/ai-pipelines.mdx,GPU Nodes > GPU Nodes > Advanced Orchestrator Information,not_covered,Best candidate score 0.46 against English IA route v2/orchestrators/advanced-setup/ai-pipelines.,review_for_deprecation_or_merge,create_new_page,0.53,needs_manual_review,"Top candidate: v2/orchestrators/advanced-setup/ai-pipelines (score 0.46, resolution direct). Adjudication could not raise confidence to threshold.",true,stale,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
