current_path,bytes,pageType,audience,classification,target_path,reason,review_flag_count,studio_violation_count
v2/developers/build/tutorials/huggingface-to-livepeer.mdx,26908,tutorial,developer,REVIEW-NEEDS-DECISION,—,"No slot in locked IA tutorials list. 26KB substantive content. Options: (a) keep at build/tutorials/ as 13th tutorial; (b) merge into build/ai-and-agents/model-support.mdx; (c) archive",0,0
v2/developers/build/tutorials/huggingface-to-livepeer-advanced.mdx,45446,tutorial,developer,REVIEW-NEEDS-DECISION,—,45KB; same problem as above — no IA slot,0,0
v2/developers/build/tutorials/ipfs-video-integration.mdx,6248,tutorial,developer,MOVE,v2/developers/build/tutorials/ipfs-video-integration.mdx,Brief MOVE; same name,0,0
v2/developers/build/tutorials/token-gated-video.mdx,9328,tutorial,developer,MOVE,v2/developers/build/tutorials/token-gated-video.mdx,Brief MOVE; same name,0,0
v2/developers/guides/ai/authentication.mdx,5260,instruction,developer,MOVE,v2/developers/guides/auth-and-security/ai-authentication.mdx,Brief implicit MOVE to auth-and-security subgroup,0,4
v2/developers/guides/ai/production-checklist.mdx,5600,reference,developer,MOVE,v2/developers/guides/production-hardening-checklist.mdx,Brief: top-level guides/production-hardening-checklist.mdx,0,4
v2/developers/guides/ai/troubleshooting.mdx,7168,instruction,developer,REWRITE,v2/developers/guides/observability-and-debugging/job-debugging.mdx,Closest IA slot; 6 Studio violations require rewrite for network-direct,0,6
v2/developers/guides/beta-projects/data-mcp.mdx,0,,,STUB,v2/developers/build/ai-and-agents/ecosystem-mcp/livepeer-data-mcp.mdx,Empty file (0 bytes); MOVE-STUB per brief,0,0
v2/developers/guides/beta-projects/naap.mdx,12501,overview,developer,SPLIT,multiple,Brief SPLIT: build/plugins-and-extensions/overview.mdx + naap-architecture.mdx,0,0
v2/developers/guides/beta-projects/pymthouse.mdx,10082,overview,developer,MOVE,v2/developers/guides/payments/clearinghouse-pattern.mdx,Brief MOVE (clearinghouse-pattern.mdx),0,0
v2/developers/guides/beta-projects/storyboard.mdx,0,,,STUB,v2/developers/build/ai-and-agents/agents/storyboard.mdx,Empty file (0 bytes); MOVE-STUB per brief,0,0
v2/developers/guides/contribution-guide.mdx,11373,guide,developer,ARCHIVE,v2/community/,Brief ARCHIVE (Community tab),0,1
v2/developers/guides/developer-guides.mdx,6930,guide,developer,REWRITE,v2/developers/guides/overview.mdx,Locked IA names guides/overview.mdx; current page is a router that needs scope realignment,0,0
v2/developers/guides/local-testnet-deployment.mdx,10589,instruction,developer,MOVE,v2/developers/guides/local-development/local-testnet.mdx,Brief MOVE,0,0
v2/developers/guides/opportunities/bug-bounties.mdx,8676,reference,developer,ARCHIVE,v2/community/,Brief: guides/opportunities/* → Community tab,0,0
v2/developers/guides/opportunities/careers.mdx,775,landing,developer,ARCHIVE,v2/community/,Brief: opportunities → Community,0,0
v2/developers/guides/opportunities/grants-and-programmes.mdx,14216,guide,developer,ARCHIVE,v2/community/,Brief: opportunities → Community,0,1
v2/developers/guides/opportunities/oss-contributions.mdx,13897,guide,developer,ARCHIVE,v2/community/,Brief: opportunities → Community,0,0
v2/developers/guides/opportunities/overview.mdx,6586,guide,developer,ARCHIVE,v2/community/,Brief: opportunities → Community,0,0
v2/developers/guides/opportunities/rfps-and-proposals.mdx,10657,guide,developer,ARCHIVE,v2/community/,Brief: opportunities → Community,0,0
v2/developers/guides/video/access-control.mdx,6653,instruction,developer,ARCHIVE,_workspace/archive/ or v2/solutions/,No guides/video/ in locked IA; Studio-framed; ARCHIVE per default decision-5,0,0
v2/developers/guides/video/create-livestream.mdx,6268,instruction,developer,ARCHIVE,_workspace/archive/ or v2/solutions/,Same as above; 4 Studio violations,0,4
v2/developers/guides/video/monitor-stream-health.mdx,4999,instruction,developer,ARCHIVE,_workspace/archive/ or v2/solutions/,Same as above; 1 Studio violation,0,1
v2/developers/guides/video/playback.mdx,5207,instruction,developer,ARCHIVE,_workspace/archive/ or v2/solutions/,Same as above; no Studio violations but no IA slot,0,0
v2/developers/guides/video/upload-asset.mdx,3769,instruction,developer,ARCHIVE,_workspace/archive/ or v2/solutions/,Same as above,0,0
v2/developers/guides/video/webhooks.mdx,7024,instruction,developer,ARCHIVE,_workspace/archive/ or v2/solutions/,Same as above; 2 Studio violations,0,2
v2/developers/resources/glossary.mdx,59638,reference,developer,KEEP,v2/developers/resources/glossary.mdx,Locked IA names resources/glossary.mdx; 59KB substantive; Styles Governance flag noted re programme→program rule false-positives,0,0
v2/developers/resources/compendium/developer-help.mdx,11914,reference,developer,MOVE,v2/developers/guides/help.mdx,Brief MOVE,0,2
v2/developers/resources/compendium/example-applications.mdx,1743,,developer,MERGE,v2/developers/resources/example-applications.mdx,Brief MERGE into top-level resources/example-applications.mdx; also merge concepts/builders-guide.mdx into same target,0,0
v2/developers/resources/compendium/resources.mdx,14109,guide,developer,MERGE,v2/developers/resources/example-applications.mdx,Brief AUDIT-THEN-MERGE — audit confirms general ecosystem resource list; merge unique into example-applications,0,2
v2/developers/resources/knowledge-hub/awesome-livepeer.mdx,1048,resource,developer,MOVE,v2/developers/resources/awesome-livepeer.mdx,Brief MOVE (flatten); thin content (1KB) is near-stub,0,0
v2/developers/resources/knowledge-hub/deepwiki.mdx,1494,resource,developer,MOVE,v2/developers/resources/deepwiki.mdx,Brief MOVE (flatten); thin content,0,0
v2/developers/resources/knowledge-hub/wiki.mdx,900,resource,developer,MOVE-STUB,v2/developers/resources/wiki.mdx,Brief MOVE (flatten); <1KB confirms STUB,0,0
v2/developers/resources/reference/ai-runner.mdx,671,reference,developer,STUB,v2/developers/resources/reference/overview.mdx or new ai-runner-reference.mdx,Sub-1KB stub; locked IA reference list does not include ai-runner; consider merging into overview or removing,0,0
v2/developers/resources/reference/apis.mdx,7700,reference,developer,REWRITE,v2/developers/resources/reference/apis.mdx,KEEP path; 5 Studio violations require rewrite for network-direct framing,0,5
v2/developers/resources/reference/pricing-rate-limits.mdx,4820,reference,developer,KEEP,v2/developers/resources/reference/pricing-rate-limits.mdx,Locked IA path matches; 3 Studio violations to flag for rewrite-in-place,0,3
v2/developers/resources/reference/pytrickle.mdx,8503,reference,developer,MOVE,v2/developers/resources/reference/pytrickle-reference.mdx,Locked IA names pytrickle-reference.mdx,0,0
v2/developers/resources/reference/sdks.mdx,7317,reference,developer,KEEP,v2/developers/resources/reference/sdks.mdx,Locked IA path matches; 1 Studio violation to flag for rewrite-in-place,0,1
v2/developers/concepts1/ai-on-livepeer.mdx,—,,,DELETE,—,Duplicate-zone artefact of restructure; content lives in concepts/ai-on-livepeer.mdx already moved to learn/ai-on-livepeer.mdx,0,2
v2/developers/concepts1/developer-stack.mdx,—,,,DELETE,—,Duplicate-zone; canonical is concepts/developer-stack.mdx,5,11
v2/developers/concepts1/ecosystem-map.mdx,—,,,DELETE,—,Duplicate-zone; canonical is concepts/ecosystem-map.mdx,0,7
v2/developers/concepts1/oss-stack.mdx,16383,,,MERGE,v2/developers/concepts/repo-map.mdx,Brief's named source for repo-map merge; preserve unique sections then delete,0,1
v2/developers/concepts1/video-on-livepeer.mdx,—,,,DELETE,—,Duplicate-zone; canonical is concepts/video-on-livepeer.mdx already moved to learn/video-on-livepeer.mdx,0,7
v2/developers/concepts1/builders.mdx,—,,,DELETE,—,Duplicate-zone; canonical is concepts/builders-guide.mdx,1,0
v2/developers/build1/sdk-gateway.mdx,—,,,REVIEW-NEEDS-DECISION,—,No locked IA slot for sdk-gateway; possible source for build/applications/ or alt-gateways/; 2 Studio refs,0,2
v2/developers/build1/byoc.mdx,12905,,,MOVE,v2/developers/build/compute/byoc/overview.mdx,Brief's named source build/byoc.mdx — now at build1/byoc.mdx,6,0
v2/developers/build1/comfystream.mdx,12545,,,MOVE,v2/developers/build/ai-and-agents/realtime-ai/comfystream/overview.mdx,Brief's named source build/comfystream.mdx — now at build1/comfystream.mdx,11,0
v2/developers/build1/model-support.mdx,10236,,,MOVE,v2/developers/build/ai-and-agents/model-support.mdx,Brief's named source build/model-support.mdx — now at build1/model-support.mdx,5,0
v2/developers/build1/workload-fit.mdx,9024,,,MERGE,v2/developers/learn/ai-and-agents.mdx,Brief MERGE into learn/ai-and-agents.mdx,0,0
v2/developers/guides/tutorials1/build-an-ai-agent-on-livepeer.mdx,—,,,DELETE,—,Duplicate of build/tutorials/build-an-ai-agent-on-livepeer.mdx,0,3
v2/developers/guides/tutorials1/ipfs-video-integration.mdx,—,,,DELETE,—,Duplicate of build/tutorials/ipfs-video-integration.mdx,0,1
v2/developers/guides/tutorials1/token-gated-video.mdx,—,,,DELETE,—,Duplicate of build/tutorials/token-gated-video.mdx,0,1
