path	namespace	classification	rationale
v2/solutions/streamplace/introduction/streamplace-provenance.mdx	streamplace-introduction	archive-candidate	Orphan solution introduction set
v2/solutions/streamplace/introduction/streamplace-integration.mdx	streamplace-introduction	archive-candidate	Orphan solution introduction set
v2/solutions/streamplace/introduction/streamplace-architecture.mdx	streamplace-introduction	archive-candidate	Orphan solution introduction set
v2/solutions/streamplace/introduction/streamplace-funding-model.mdx	streamplace-introduction	archive-candidate	Orphan solution introduction set
v2/solutions/streamplace/introduction/streamplace-guide.mdx	streamplace-introduction	archive-candidate	Orphan solution introduction set
v2/community/ecosystem/governance.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/community/connect/news-and-socials.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/developers/resources/deepwiki.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/orchestrators/resources/reference/technical/x-changelog.mdx	x-prefix	cut-candidate	Experimental/abandoned per x- prefix convention
v2/orchestrators/resources/reference/technical/x-support-status.mdx	x-prefix	cut-candidate	Experimental/abandoned per x- prefix convention
v2/orchestrators/resources/reference/technical/x-troubleshooting.mdx	x-prefix	cut-candidate	Experimental/abandoned per x- prefix convention
v2/gateways/setup/monitor/monitoring-setup.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/gateways/setup/monitor/monitor-and-optimise.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/gateways/setup/configure/configuration-reference.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/gateways/setup/prepare/on-chain-setup.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/gateways/setup/transcoding/transcoding-options.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/gateways/setup/transcoding/transcoding.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/gateways/setup/requirements/setup.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/gateways/setup/publish/connect-with-offerings.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/gateways/setup/connect/connect-with-offerings.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/gateways/setup/connect/lp-marketplace.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/gateways/setup/connect/discover-offerings.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/gateways/setup/requirements/on-chain-setup/on-chain.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/gateways/setup/requirements/on-chain-setup/bridge-lpt-to-arbitrum.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/gateways/resources/reference/technical/orchestrator-offerings.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/orchestrators/guides/roadmap-and-funding/orchestrator-profiles.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/orchestrators/guides/roadmap-and-funding/funding-and-support.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/orchestrators/guides/advanced-operations/dep-guide.mdx	dep-prefix	cut-candidate	Deprecated per dep- prefix convention
v2/orchestrators/guides/tutorials/byoc-cpu-tutorial.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/orchestrators/concepts/composable/orchestratorRole.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/gateways/guides/node-pipelines/dep-ai-inference.mdx	dep-prefix	cut-candidate	Deprecated per dep- prefix convention
v2/gateways/guides/payments-and-pricing/dep-payment-guide.mdx	dep-prefix	cut-candidate	Deprecated per dep- prefix convention
v2/gateways/guides/advanced-operations/dep-production-hardening.mdx	dep-prefix	cut-candidate	Deprecated per dep- prefix convention
v2/gateways/guides/tutorials/tutorials-resources.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/gateways/resources/reference/technical/api-reference/hardware-stats.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/gateways/resources/reference/technical/api-reference/health.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/gateways/resources/reference/technical/api-reference/_delete-all-api.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/gateways/resources/reference/technical/api-reference/hardware-info.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/gateways/resources/reference/technical/api-reference/ai-worker-api.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/gateways/resources/reference/technical/go-livepeer/hardware-requirements.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/gateways/resources/reference/technical/go-livepeer/cli-reference.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/gateways/resources/reference/technical/go-livepeer/prometheus-metrics.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/gateways/resources/reference/technical/go-livepeer/gpu-support.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/developers/build/ai-and-agents/ai-stream-pack/audio-transcription.mdx	ai-stream-pack	needs-collab	status:stub placeholder; pending decision
v2/developers/build/ai-and-agents/ai-stream-pack/superresolution.mdx	ai-stream-pack	needs-collab	status:stub placeholder; pending decision
v2/developers/build/ai-and-agents/ai-stream-pack/streamdiffusion.mdx	ai-stream-pack	needs-collab	status:stub placeholder; pending decision
v2/developers/build/ai-and-agents/ai-stream-pack/comfyui-rtc.mdx	ai-stream-pack	needs-collab	status:stub placeholder; pending decision
v2/developers/build/ai-and-agents/ai-stream-pack/streamdiffusion-v2.mdx	ai-stream-pack	needs-collab	status:stub placeholder; pending decision
v2/developers/build/ai-and-agents/ecosystem-mcp/livepeer-data-mcp.mdx	agents	needs-collab	Agent SDK orphans; status:stub
v2/developers/build/ai-and-agents/agents/eip-8004-identity.mdx	agents	needs-collab	Agent SDK orphans; status:stub
v2/developers/build/ai-and-agents/agents/creative-kit.mdx	agents	needs-collab	Agent SDK orphans; status:stub
v2/developers/build/ai-and-agents/agents/agent-sdk.mdx	agents	needs-collab	Agent SDK orphans; status:stub
