path	type	classification	rationale	linked_observations
v2/about/guides/changelogs/go-livepeer.mdx	mdx	production-rendered	in docs.json	-
v2/about/guides/changelogs/lips.mdx	mdx	production-rendered	in docs.json	-
v2/about/guides/contributor-orientation.mdx	mdx	needs-collab	orphan: not in docs.json	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/guides/evaluating-livepeer.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/guides/gateways-vs-orchestrators.mdx	mdx	needs-collab	orphan: not in docs.json	NOT_IN_DOCS_JSON
v2/about/guides/governance-and-voting.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/guides/livepeer-network.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/guides/livepeer-token.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/guides/network-metrics.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/guides/network-tools-and-metrics.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/guides/protocol-design.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/guides/technical-roadmap.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/guides/treasury-and-proposals.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/index.mdx	mdx	production-rendered	tab landing page (referenced via group, not file path)	NOT_IN_DOCS_JSON
v2/about/navigator.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/network/actors.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/network/architecture.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/network/design.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/network/design2.mdx	mdx	archive-candidate	design2 alt — not in docs.json	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/network/interfaces.mdx	mdx	needs-collab	orphan: not in docs.json	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/network/job-pipelines.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/network/marketplace-model.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/network/mechanisms.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/network/metrics.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/network/observability.mdx	mdx	needs-collab	orphan: not in docs.json	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/network/participation.mdx	mdx	needs-collab	orphan: not in docs.json	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/network1/actors.mdx	mdx	cut-candidate	parallel /network1/ of canonical /network/; not imported	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/network1/architecture.mdx	mdx	cut-candidate	parallel /network1/ of canonical /network/; not imported	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/network1/demand-side.mdx	mdx	cut-candidate	parallel /network1/ of canonical /network/; not imported	NOT_IN_DOCS_JSON
v2/about/network1/design.mdx	mdx	cut-candidate	parallel /network1/ of canonical /network/; not imported	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/network1/economic-model.mdx	mdx	cut-candidate	parallel /network1/ of canonical /network/; not imported	NOT_IN_DOCS_JSON
v2/about/network1/growth-model.mdx	mdx	cut-candidate	parallel /network1/ of canonical /network/; not imported	NOT_IN_DOCS_JSON
v2/about/network1/interfaces.mdx	mdx	cut-candidate	parallel /network1/ of canonical /network/; not imported	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/network1/job-pipelines.mdx	mdx	cut-candidate	parallel /network1/ of canonical /network/; not imported	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/network1/livepeer-actors/delegators.mdx	mdx	cut-candidate	parallel /network1/ of canonical /network/; not imported	NOT_IN_DOCS_JSON
v2/about/network1/livepeer-actors/end-users.mdx	mdx	cut-candidate	parallel /network1/ of canonical /network/; not imported	NOT_IN_DOCS_JSON
v2/about/network1/livepeer-actors/gateways.mdx	mdx	cut-candidate	parallel /network1/ of canonical /network/; not imported	NOT_IN_DOCS_JSON
v2/about/network1/livepeer-actors/orchestrators.mdx	mdx	cut-candidate	parallel /network1/ of canonical /network/; not imported	NOT_IN_DOCS_JSON
v2/about/network1/marketplace-model.mdx	mdx	cut-candidate	parallel /network1/ of canonical /network/; not imported	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/network1/mechanics.mdx	mdx	cut-candidate	parallel /network1/ of canonical /network/; not imported	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/network1/supply-side.mdx	mdx	cut-candidate	parallel /network1/ of canonical /network/; not imported	NOT_IN_DOCS_JSON
v2/about/network2/actors.mdx	mdx	cut-candidate	parallel /network2/ of canonical /network/; not imported	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/network2/demand-side.mdx	mdx	cut-candidate	parallel /network2/ of canonical /network/; not imported	NOT_IN_DOCS_JSON
v2/about/network2/fee-flow.mdx	mdx	cut-candidate	parallel /network2/ of canonical /network/; not imported	NOT_IN_DOCS_JSON
v2/about/network2/interfaces.mdx	mdx	cut-candidate	parallel /network2/ of canonical /network/; not imported	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/network2/job-lifecycle.mdx	mdx	cut-candidate	parallel /network2/ of canonical /network/; not imported	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/network2/livepeer-actors/delegators.mdx	mdx	cut-candidate	parallel /network2/ of canonical /network/; not imported	NOT_IN_DOCS_JSON
v2/about/network2/livepeer-actors/end-users.mdx	mdx	cut-candidate	parallel /network2/ of canonical /network/; not imported	NOT_IN_DOCS_JSON
v2/about/network2/livepeer-actors/gateways.mdx	mdx	cut-candidate	parallel /network2/ of canonical /network/; not imported	NOT_IN_DOCS_JSON
v2/about/network2/livepeer-actors/orchestrators.mdx	mdx	cut-candidate	parallel /network2/ of canonical /network/; not imported	NOT_IN_DOCS_JSON
v2/about/network2/marketplace.mdx	mdx	cut-candidate	parallel /network2/ of canonical /network/; not imported	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/network2/overview.mdx	mdx	cut-candidate	parallel /network2/ of canonical /network/; not imported	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/network2/scaling.mdx	mdx	cut-candidate	parallel /network2/ of canonical /network/; not imported	NOT_IN_DOCS_JSON
v2/about/network2/supply-side.mdx	mdx	cut-candidate	parallel /network2/ of canonical /network/; not imported	NOT_IN_DOCS_JSON
v2/about/network2/technical-architecture.mdx	mdx	cut-candidate	parallel /network2/ of canonical /network/; not imported	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/portal.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/protocol/actors.mdx	mdx	needs-collab	orphan: not in docs.json	NOT_IN_DOCS_JSON
v2/about/protocol/architecture.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/protocol/blockchain-contracts.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/protocol/design.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/protocol/governance-and-treasury.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/protocol/livepeer-token.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/protocol/mechanisms.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/protocol/x-design-philosophy.mdx	mdx	cut-candidate	x- prefix (deprecated variant)	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/protocol/x-design.mdx	mdx	cut-candidate	x- prefix (deprecated variant)	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/protocol/x-livepeer-token.mdx	mdx	cut-candidate	x- prefix (deprecated variant)	STUB,LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/protocol/x-overview.mdx	mdx	cut-candidate	x- prefix (deprecated variant)	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/protocol/x-treasury.mdx	mdx	cut-candidate	x- prefix (deprecated variant)	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/protocol2/blockchain-contracts.mdx	mdx	cut-candidate	parallel /protocol2/ of canonical /protocol/; not imported	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/protocol2/capabilities.mdx	mdx	cut-candidate	parallel /protocol2/ of canonical /protocol/; not imported	NO_FRONTMATTER,NOT_IN_DOCS_JSON
v2/about/protocol2/core-mechanisms.mdx	mdx	cut-candidate	parallel /protocol2/ of canonical /protocol/; not imported	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/protocol2/design-philosophy.mdx	mdx	cut-candidate	parallel /protocol2/ of canonical /protocol/; not imported	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/protocol2/design.mdx	mdx	cut-candidate	parallel /protocol2/ of canonical /protocol/; not imported	NO_FRONTMATTER,NOT_IN_DOCS_JSON
v2/about/protocol2/economics.mdx	mdx	cut-candidate	parallel /protocol2/ of canonical /protocol/; not imported	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/protocol2/governance-model.mdx	mdx	cut-candidate	parallel /protocol2/ of canonical /protocol/; not imported	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/protocol2/livepeer-governance.mdx	mdx	cut-candidate	parallel /protocol2/ of canonical /protocol/; not imported	NOT_IN_DOCS_JSON
v2/about/protocol2/livepeer-token-economics.mdx	mdx	cut-candidate	parallel /protocol2/ of canonical /protocol/; not imported	NOT_IN_DOCS_JSON
v2/about/protocol2/livepeer-token.mdx	mdx	cut-candidate	parallel /protocol2/ of canonical /protocol/; not imported	STUB,LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/protocol2/overview.mdx	mdx	cut-candidate	parallel /protocol2/ of canonical /protocol/; not imported	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/protocol2/technical-architecture.mdx	mdx	cut-candidate	parallel /protocol2/ of canonical /protocol/; not imported	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/protocol2/treasury.mdx	mdx	cut-candidate	parallel /protocol2/ of canonical /protocol/; not imported	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/resources/faq.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/resources/glossary.mdx	mdx	production-rendered	in docs.json	AUTO_GEN,LAST_VERIFIED
v2/about/resources/knowledge-hub/contributor-orientation.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/resources/knowledge-hub/evaluating-livepeer.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/resources/knowledge-hub/gateways-vs-orchestrators.mdx	mdx	production-rendered	in docs.json	-
v2/about/resources/knowledge-hub/livepeer-whitepaper.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/resources/livepeer-glossary.mdx	mdx	needs-collab	orphan: not in docs.json	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/resources/reference/livepeer-contract-addresses.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/resources/reference/network-metrics.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/resources/reference/technical-roadmap.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/community/connect/connect-channels.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/community/connect/events-and-streams.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/community/connect/news-and-socials.mdx	mdx	needs-collab	orphan: not in docs.json	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/community/connect/trending-topics.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/community/contribute/build-livepeer.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/community/contribute/contribute.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/community/contribute/opportunities.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/community/ecosystem/ecosystem.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/community/ecosystem/governance.mdx	mdx	needs-collab	orphan: not in docs.json	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/community/ecosystem/organisations.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/community/ecosystem/partners.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/community/ecosystem/roadmap.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/community/ecosystem/showcase.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/community/ecosystem/spes.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/community/guides/guidelines.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/community/index.mdx	mdx	production-rendered	tab landing page (referenced via group, not file path)	NOT_IN_DOCS_JSON
v2/community/navigator.mdx	mdx	production-rendered	in docs.json	STUB,LAST_VERIFIED
v2/community/portal.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/community/resources/awesome-livepeer.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/community/resources/compendium/media-kit.mdx	mdx	production-rendered	in docs.json	-
v2/community/resources/dashboards.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/community/resources/faq.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/community/resources/glossary.mdx	mdx	production-rendered	in docs.json	AUTO_GEN,LAST_VERIFIED
v2/community/resources/guides.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/delegators/concepts/mechanics.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/delegators/concepts/overview.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/delegators/concepts/purpose.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/delegators/concepts/tokenomics.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/delegators/delegation/about-delegation.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/delegators/delegation/bridge-lpt-to-arbitrum.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/delegators/delegation/choose-an-orchestrator.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/delegators/delegation/delegate-your-lpt.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/delegators/delegation/delegation-economics.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/delegators/delegation/manage-your-delegation.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/delegators/delegation/overview.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/delegators/guides/governance/model.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/delegators/guides/governance/overview.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/delegators/guides/governance/processes.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/delegators/guides/treasury/allocations.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/delegators/guides/treasury/overview.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/delegators/guides/treasury/proposals.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/delegators/index.mdx	mdx	production-rendered	tab landing page (referenced via group, not file path)	NOT_IN_DOCS_JSON
v2/delegators/portal.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/delegators/resources/compendium/exchanges.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/delegators/resources/compendium/lpt-eth-usage.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/delegators/resources/glossary.mdx	mdx	production-rendered	in docs.json	AUTO_GEN,LAST_VERIFIED
v2/delegators/resources/knowledge-hub/delegator-videos-and-blogs.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/delegators/resources/reference/contracts.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/delegators/resources/reference/protocol-parameters.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/ai-and-agents/agents/agent-sdk.mdx	mdx	needs-collab	orphan: not in docs.json	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/developers/build/ai-and-agents/agents/creative-kit.mdx	mdx	needs-collab	orphan: not in docs.json	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/developers/build/ai-and-agents/agents/eip-8004-identity.mdx	mdx	needs-collab	orphan: not in docs.json	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/developers/build/ai-and-agents/agents/eliza-integration.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/ai-and-agents/agents/llm-provider-routing.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/ai-and-agents/agents/overview.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/ai-and-agents/agents/storyboard.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/ai-and-agents/ai-jobs-direct-quickstart.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/ai-and-agents/ai-pipelines.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/ai-and-agents/ai-sdks-overview.mdx	mdx	production-rendered	in docs.json	AUTO_GEN,LAST_VERIFIED
v2/developers/build/ai-and-agents/ai-stream-pack/audio-transcription.mdx	mdx	needs-collab	orphan: not in docs.json	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/developers/build/ai-and-agents/ai-stream-pack/comfyui-rtc.mdx	mdx	needs-collab	orphan: not in docs.json	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/developers/build/ai-and-agents/ai-stream-pack/overview.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/ai-and-agents/ai-stream-pack/streamdiffusion-v2.mdx	mdx	needs-collab	orphan: not in docs.json	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/developers/build/ai-and-agents/ai-stream-pack/streamdiffusion.mdx	mdx	needs-collab	orphan: not in docs.json	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/developers/build/ai-and-agents/ai-stream-pack/superresolution.mdx	mdx	needs-collab	orphan: not in docs.json	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/developers/build/ai-and-agents/ecosystem-mcp/docs-mcp.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/ai-and-agents/ecosystem-mcp/livepeer-data-mcp.mdx	mdx	needs-collab	orphan: not in docs.json	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/developers/build/ai-and-agents/ecosystem-mcp/overview.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/ai-and-agents/model-support.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/ai-and-agents/overview.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/ai-and-agents/realtime-ai/comfystream/comfystream-as-byoc.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/ai-and-agents/realtime-ai/comfystream/comfystream-quickstart.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/ai-and-agents/realtime-ai/comfystream/overview.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/ai-and-agents/realtime-ai/comfystream/workflow-authoring.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/ai-and-agents/realtime-ai/overview.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/ai-and-agents/realtime-ai/pytrickle/data-channels.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/ai-and-agents/realtime-ai/pytrickle/frame-processor.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/ai-and-agents/realtime-ai/pytrickle/overview.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/ai-and-agents/realtime-ai/pytrickle/pytrickle-quickstart.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/alt-gateways/browser-and-mobile.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/alt-gateways/livepeer-python-gateway.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/alt-gateways/overview.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/alt-gateways/remote-signer-integration.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/applications/frontend-core-web.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/applications/frontend-react-broadcast.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/applications/frontend-react-player.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/applications/overview.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/compute/byoc/byoc-architecture.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/compute/byoc/byoc-production.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/compute/byoc/byoc-quickstart.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/compute/byoc/byoc-sdk.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/compute/byoc/overview.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/compute/byoc/reference-pipelines.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/plugins-and-extensions/building-a-plugin.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/plugins-and-extensions/naap-architecture.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/plugins-and-extensions/overview.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/tutorials/ai-agent-on-livepeer.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/tutorials/ai-image-generation-app.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/tutorials/build-a-chatbot-with-livepeer-llm.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/tutorials/build-a-naap-plugin.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/tutorials/build-a-vtuber-avatar-pipeline.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/tutorials/eliza-livepeer-plugin.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/tutorials/huggingface-to-livepeer-advanced.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/tutorials/huggingface-to-livepeer.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/tutorials/ipfs-video-integration.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/developers/build/tutorials/low-latency-live-streaming-app.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
